Temperature_C,Heart_Rate_BPM,Vomiting,Diarrhea,Lethargy,Pain_Vocalization,Pale_Gums,Seizure,Abdominal_Distension,Urgency_Level
38.1,129,1,0,0,0,0,0,0,0
38.8,120,0,0,0,0,0,0,0,0
38.7,112,0,0,1,0,0,0,0,0
38.9,109,0,0,0,0,0,0,0,0
37.7,175,0,0,1,0,1,0,0,2
37.7,87,1,0,1,0,0,0,0,1
39.7,84,0,1,0,0,0,0,0,0
39.1,80,0,1,0,0,0,0,0,0
39.3,111,0,0,1,1,0,0,0,1
39.3,111,1,0,0,0,0,0,0,0
37.8,91,0,1,1,0,0,0,0,0
39.0,104,1,0,1,0,0,0,0,1
37.8,143,1,0,1,0,1,0,0,2
40.1,115,0,1,1,0,0,0,0,1
38.9,103,0,0,1,0,0,0,0,0
39.5,77,1,0,0,0,0,0,0,0
37.5,103,0,1,1,0,0,0,0,0
38.5,82,1,1,0,0,0,0,0,1
38.9,139,0,0,1,0,0,0,0,0
38.0,73,0,0,0,0,0,0,0,0
38.8,122,0,0,0,0,0,0,0,0
38.7,73,1,1,1,0,0,0,1,2
38.5,63,0,0,1,0,0,0,0,0
39.6,142,0,0,1,0,0,0,0,0
36.8,97,0,1,1,0,0,0,0,2
39.5,138,1,0,0,0,0,0,1,2
39.2,174,0,0,0,0,1,0,0,2
38.0,95,0,0,0,0,0,0,0,0
37.8,85,0,0,1,0,0,0,0,0
39.5,92,1,0,0,0,0,0,0,0
39.2,103,0,0,1,0,0,0,0,0
38.7,123,0,0,1,0,0,0,0,0
38.6,66,0,1,0,0,0,0,0,0
39.9,138,0,1,0,0,0,0,0,1
39.4,126,0,0,1,0,0,0,0,0
36.8,119,0,0,0,0,0,0,0,2
38.2,126,0,0,0,0,0,0,0,0
37.2,100,0,0,0,0,0,0,0,0
37.9,106,0,1,1,0,0,0,0,0
38.4,107,0,0,0,0,0,0,0,0
38.6,98,1,0,1,0,0,0,0,1
37.7,100,0,0,0,0,0,0,0,0
38.5,87,0,0,0,0,0,0,0,0
39.0,107,1,0,0,1,0,0,0,1
37.5,61,0,0,1,1,0,0,0,1
39.4,90,0,0,1,0,0,0,0,0
37.9,83,0,0,1,0,0,0,0,0
38.5,97,0,0,0,0,0,0,0,0
39.0,58,1,0,0,0,0,0,0,0
38.1,114,0,0,1,0,0,0,0,0
38.0,73,0,1,0,0,0,0,0,0
38.5,103,0,0,0,0,0,0,0,0
37.8,95,0,0,1,0,0,0,1,2
37.7,34,0,0,0,0,0,0,0,0
37.0,74,0,0,1,0,0,0,0,0
38.5,77,0,1,1,0,0,0,1,2
38.9,74,0,0,1,0,0,0,0,0
39.0,63,1,0,0,0,0,0,0,0
37.5,147,0,0,0,0,0,0,0,0
38.5,89,0,0,1,0,0,0,0,0
38.2,66,1,0,1,0,0,0,0,1
38.7,138,1,0,0,0,0,0,0,0
39.6,80,0,0,0,0,0,0,0,0
38.8,110,0,0,0,0,0,0,0,0
38.3,88,1,0,1,1,0,0,0,1
38.8,88,0,1,0,0,0,0,0,0
38.5,94,0,0,0,0,1,0,0,2
38.1,97,1,0,0,0,0,1,0,2
39.1,122,0,1,1,0,1,0,0,2
39.2,78,0,0,0,0,0,0,0,0
39.2,120,1,0,0,0,0,0,0,0
39.2,66,0,1,1,0,0,0,0,0
38.1,108,0,0,0,1,0,0,0,1
38.5,35,0,0,0,0,0,0,0,0
38.1,88,0,0,0,0,0,0,0,0
39.6,140,0,1,1,0,1,0,0,2
39.0,62,0,0,0,0,0,0,0,0
38.6,126,0,0,0,0,0,0,0,0
38.7,103,0,1,0,0,0,0,0,0
38.5,87,1,0,1,0,0,0,0,1
39.2,82,1,0,0,0,0,0,0,0
37.8,114,0,0,0,0,0,0,0,0
39.2,113,1,0,0,0,0,0,0,0
39.3,137,0,0,1,0,0,0,0,0
38.9,67,0,1,1,0,0,0,0,0
38.5,62,1,0,1,0,0,0,0,1
38.6,142,1,0,1,0,0,0,0,1
38.8,128,0,0,1,0,0,0,0,0
38.7,70,1,1,0,0,1,0,0,2
39.1,111,0,0,1,0,0,0,0,0
38.7,142,0,0,1,0,0,0,0,0
39.6,153,0,0,1,0,0,0,0,0
38.0,137,0,0,0,1,0,0,0,1
38.9,149,0,1,1,1,0,0,0,1
